fid,site name,area_goo,area_hex
1,Tibba Name Shah,0.62533101,0.63173434
2,Biyan Tibba,2.602687386,4.364056982
4,Guru Baba Ka Tibba,1.365790822,1.413529093
6,Muggoali,2.330205406,3.611797826
7,Premachak,1.260826042,1.596386889
8,Devigarh,2.948102792,3.404733786
11,Sai Khurd,2.037811746,4.057958117
12,Satowali,5.013515357,5.820977903
13,Deoli Tibba,4.128097866,4.290708617
14,Dohana Chak Tibba,2.413456012,2.485883284
15,Mana Tibba,3.534015418,4.387802609
16,Abduleyan,3.140381053,3.90298865
17,Nandpur,1.803349112,2.88423835
19,Khojipur Jhak,1.284868371,1.46158917
20,Atta Wala Jeora,2.441324697,2.458554584
21,Jindermelu Tibba,4.41453925,4.94635162
22,Shahjamal Tibba,0.538920146,0.712000992
23,Jafarchak,2.039487832,2.256546377
24,Chak Alam,0.387383431,3.111399519
25,Rangoor,1.078159053,1.106539481
26,SK 87,0.635114585,2.657941247
27,Tibba Lalial,3.641905674,4.482973166
28,Doomi,2.091622746,2.510349106
29,Garhi,0.612356544,1.6165045
30,Pindi,0.837160527,1.123240409
31,Jindlehar,0.367242367,0.79163863
32,Lalyana Tibba,1.176145877,1.869523035
33,Tibba Ahmad Pur,4.956170957,5.190778734
34,Guru Baba Ka TibbaII,1.371764971,2.145706793
35,Peer Baba Dharp,1.333435695,3.353098664
36,SK 91,0.315799467,0.660202909
37,Said garh,0.559142506,0.97254016
38,Deora Pind,1.88179196,1.941437304
39,Tibba Parel,1.685516476,1.722653092
